"","title","author","isbn13","rank","weeks_on_list"
"1","ALCATRAZ VERSUS THE EVIL LIBRARIANS","Brandon Sanderson","9781250811066","9","1"
"2","ALCATRAZ VERSUS THE EVIL LIBRARIANS","Brandon Sanderson","9781250811103","9","1"
"3","ALCATRAZ VERSUS THE EVIL LIBRARIANS","Brandon Sanderson","9780765378941","9","1"
"4","ALCATRAZ VERSUS THE EVIL LIBRARIANS","Brandon Sanderson","9780765381415","9","1"
"5","ALCATRAZ VERSUS THE EVIL LIBRARIANS","Brandon Sanderson","9780765378965","9","1"
"6","DAWNSHARD","Brandon Sanderson","9781250850553","12","0"
"7","DAWNSHARD","Brandon Sanderson","9781250850553","15","1"
"8","RHYTHM OF WAR","Brandon Sanderson","9780765326386","4","0"
"9","RHYTHM OF WAR","Brandon Sanderson","9780765326386","15","4"
"10","RHYTHM OF WAR","Brandon Sanderson","9780765326386","12","3"
"11","RHYTHM OF WAR","Brandon Sanderson","9780765326386","12","3"
"12","RHYTHM OF WAR","Brandon Sanderson","9780765326386","2","0"
"13","RHYTHM OF WAR","Brandon Sanderson","9780765326386","8","2"
"14","RHYTHM OF WAR","Brandon Sanderson","9780765326386","8","2"
"15","RHYTHM OF WAR","Brandon Sanderson","9780765326386","1","1"
"16","RHYTHM OF WAR","Brandon Sanderson","9780765326386","1","1"
"17","SKYWARD","Brandon Sanderson","9780399555770","4","3"
"18","SKYWARD","Brandon Sanderson","9780399555770","8","2"
"19","SKYWARD","Brandon Sanderson","9780399555770","3","1"
"20","SKYWARD","Brandon Sanderson","9780399555817","4","3"
"21","SKYWARD","Brandon Sanderson","9780399555817","8","2"
"22","SKYWARD","Brandon Sanderson","9780399555817","3","1"
"23","SKYWARD","Brandon Sanderson","9780399555855","4","3"
"24","SKYWARD","Brandon Sanderson","9780399555855","8","2"
"25","SKYWARD","Brandon Sanderson","9780399555855","3","1"
"26","SKYWARD","Brandon Sanderson","9780399555794","4","3"
"27","SKYWARD","Brandon Sanderson","9780399555794","8","2"
"28","SKYWARD","Brandon Sanderson","9780399555794","3","1"
"29","SKYWARD","Brandon Sanderson","9780399555800","4","3"
"30","SKYWARD","Brandon Sanderson","9780399555800","8","2"
"31","SKYWARD","Brandon Sanderson","9780399555800","3","1"
"32","SKYWARD","Brandon Sanderson","9780399555848","4","3"
"33","SKYWARD","Brandon Sanderson","9780399555848","8","2"
"34","SKYWARD","Brandon Sanderson","9780399555848","3","1"
"35","SKYWARD","Brandon Sanderson","9780399555831","4","3"
